1,Hco3-,8
2,SucCoA,12
3,Lactate,16
4,Ethanol,22
5,G1P,24
6,PRPP,29
7,Ribose,30
8,R1P,34
9,G1\_5L,52
10,6PG,53
11,Gluconic\_acid,63
12,G1\_5L6P,74
13,DR1P,82
14,Deoxyribose,84
15,Glycerate,91
16,Diphosphate,out\_Diphosphate
17,SucCoA,11 12
18,Lactate,16 17
19,Ethanol,22 23
20,G1P,24 25
21,PRPP,28 29
22,Ribose,30 31
23,R1P,34 35
24,DR1P,82 83
25,Deoxyribose,84 85
26,Suc SucCoA,11 12 75
27,Suc SucCoA,11 12 75 76
28,DR1P DR5P Deoxyribose,38 82 83 84 85
29,Fum Suc SucCoA,11 12 43 75 76
30,DR1P DR5P Deoxyribose,38 39 82 83 84 85
31,Fum Suc SucCoA,11 12 42 43 75 76
32,Fum Malate Suc SucCoA,11 12 42 43 6 75 76
33,Fum Malate Suc SucCoA,11 12 42 43 6 7 75 76
34,Acetaldehyde DR1P DR5P Deoxyribose Ethanol,20 22 23 38 39 82 83 84 85
35,Acetaldehyde DR1P DR5P Deoxyribose Ethanol,20 21 22 23 38 39 82 83 84 85
36,Acetaldehyde Acetate DR1P DR5P Deoxyribose Ethanol,20 21 22 23 3 38 39 82 83 84 85
37,E4P PRPP R1P R5P Ribose Ru5P S7P X5P,28 29 30 31 32 33 34 35 54 55 59 60 66 67 69
38,E4P PRPP R1P R5P Ribose Ru5P S7P X5P,28 29 30 31 32 33 34 35 54 55 59 60 66 67 68 69
39,2-Oxo AcCoA CisAco Citrate Fum Isocitrate Malate OxaloSuc Suc SucCoA,10 11 12 18 19 4 42 43 44 45 5 6 70 71 72 73 75 76 9 90 out\_AcCoA
40,2-Oxo AcCoA CisAco Citrate Fum Isocitrate Malate Oxa OxaloSuc Suc SucCoA,10 11 12 13 18 19 4 42 43 44 45 5 6 7 70 71 72 73 75 76 9 90 out\_AcCoA
41,2-Oxo AcCoA CisAco Citrate Fum Hco3- Isocitrate Lactate Malate OxaloSuc Pyruvate Suc SucCoA,10 11 12 16 17 18 19 2 4 42 43 44 45 5 6 70 71 72 73 75 76 8 9 90 out\_AcCoA out\_Pyruvate
42,2-Oxo 2PG 2\_3PG 3PG 6PG AcCoA CisAco Citrate DR1P DR5P Deoxyribose E4P F1\_6P F6P Fum G1P G1\_3P G1\_5L6P G3P GlyP Hco3- Isocitrate Lactate Malate OxaloSuc PEP PRPP Pyruvate R1P R5P Ribose Ru5P S7P Suc SucCoA X5P a-G6P a-Glu b-G6P b-Glu,1 10 11 12 14 15 16 17 18 19 2 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 4 40 41 42 43 44 45 46 47 48 49 5 50 51 53 54 55 56 57 58 59 6 60 61 62 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 8 80 81 82 83 84 85 86 87 88 89 9 90 92 93 out\_AcCoA out\_G3P out\_Pyruvate
43,2-Oxo 2PG 2\_3PG 3PG 6PG AcCoA CisAco Citrate DR1P DR5P Deoxyribose E4P F1\_6P F6P Fum G1P G1\_3P G1\_5L6P G3P GlyP Hco3- Isocitrate Lactate Malate OxaloSuc PEP PRPP Pyruvate R1P R5P Ribose Ru5P S7P Suc SucCoA X5P a-G6P a-Glu b-G6P b-Glu,1 10 11 12 14 15 16 17 18 19 2 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 4 40 41 42 43 44 45 46 47 48 49 5 50 51 53 54 55 56 57 58 59 6 60 61 62 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 8 80 81 82 83 84 85 86 87 88 89 9 90 92 93 in\_Glu out\_AcCoA out\_G3P out\_Pyruvate
44,2-Oxo 2PG 2\_3PG 3PG 6PG AcCoA CisAco Citrate DR1P DR5P Deoxyribose E4P F1\_6P F6P Fum G1P G1\_3P G1\_5L6P G3P GlyP Glycerate Hco3- Isocitrate Lactate Malate OxaloSuc PEP PRPP Pyruvate R1P R5P Ribose Ru5P S7P Suc SucCoA X5P a-G6P a-Glu b-G6P b-Glu,1 10 11 12 14 15 16 17 18 19 2 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 4 40 41 42 43 44 45 46 47 48 49 5 50 51 53 54 55 56 57 58 59 6 60 61 62 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 8 80 81 82 83 84 85 86 87 88 89 9 90 91 92 93 in\_Glycerate out\_AcCoA out\_G3P out\_Pyruvate
45,2-Oxo 2PG 2\_3PG 3PG 6PG AcCoA CisAco Citrate DR1P DR5P Deoxyribose E4P F1\_6P F6P Fum G1P G1\_3P G1\_5L6P G3P GlyP Hco3- Isocitrate Lactate Malate Oxa OxaloSuc PEP PRPP Pyruvate R1P R5P Ribose Ru5P S7P Suc SucCoA X5P a-G6P a-Glu b-G6P b-Glu,1 10 11 12 13 14 15 16 17 18 19 2 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 4 40 41 42 43 44 45 46 47 48 49 5 50 51 53 54 55 56 57 58 59 6 60 61 62 64 65 66 67 68 69 7 70 71 72 73 74 75 76 77 78 79 8 80 81 82 83 84 85 86 87 88 89 9 90 92 93 in\_HCO3- out\_AcCoA out\_G3P out\_Pyruvate
46,2-Oxo 2PG 2\_3PG 3PG 6PG AcCoA CisAco Citrate DR1P DR5P Deoxyribose E4P F1\_6P F6P Fum G1P G1\_3P G1\_5L G1\_5L6P G3P Gluconic\_acid GlyP Hco3- Isocitrate Lactate Malate OxaloSuc PEP PRPP Pyruvate R1P R5P Ribose Ru5P S7P Suc SucCoA X5P a-G6P a-Glu b-G6P b-Glu,1 10 11 12 14 15 16 17 18 19 2 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 4 40 41 42 43 44 45 46 47 48 49 5 50 51 52 53 54 55 56 57 58 59 6 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 8 80 81 82 83 84 85 86 87 88 89 9 90 92 93 in\_G1\_5L out\_AcCoA out\_G3P out\_Pyruvate
47,2-Oxo 2PG 2\_3PG 3PG 6PG AcCoA Acetaldehyde Acetate CisAco Citrate DR1P DR5P Deoxyribose Diphosphate E4P Ethanol F1\_6P F6P Fum G1P G1\_3P G1\_5L6P G3P GlyP Hco3- Isocitrate Lactate Malate OxaloSuc PEP PRPP Pyruvate R1P R5P Ribose Ru5P S7P Suc SucCoA X5P a-G6P a-Glu b-G6P b-Glu,1 10 11 12 14 15 16 17 18 19 2 20 21 22 23 24 25 26 27 28 29 3 30 31 32 33 34 35 36 37 38 39 4 40 41 42 43 44 45 46 47 48 49 5 50 51 53 54 55 56 57 58 59 6 60 61 62 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 8 80 81 82 83 84 85 86 87 88 89 9 90 92 93 in\_DR5P out\_AcCoA out\_Diphosphate out\_G3P out\_Pyruvate
